CODIGOEAN13,Tipo,Nom_Prod,Concent,Nom_Form_Farm,Nom_Form_Farm_Simplif,Presentac,Fracciones,Fec_Vcto_Reg_Sanitario,Num_RegSan,Nom_Titular
7751030705641,13,UNITOB,0.30%,Solución Oftálmica,Solucion Oftalmica,Fco. Got. X 5 mL,1,5/14/2013,N18913,ROSTER
7751030705658,13,UNISULF S,,Solución Oftálmica,Solucion Oftalmica,Fco. Got. X 5 mL,1,9/17/2013,N25016,ROSTER
7751030945856,13,UNIXINE-S,3.5 G,TUBO,UNGÜENTO,Oft. Ung. x 3.5g,1,,N-20334,Roster S.A.
7751030945863,13,CLEAR EYES-FRASCO X 15 ML (ROSTER),"1,40%",FRASCO,FCO,CJA X 1,1,10/14/2017,N20338,LABORATORIOS ROSTER S.A.
7751032000096,13,HIERRO SACARATO,100 MGFe/5 ML,SOLUCION INYECTABLE,SOL. INY.,CAJA X 5 AMPOLLAS,5,,EG-5115,GP PHARM
7751032000201,13,MINOCTRE,1 mg/5 mL,SOLUCION INYECTABLE,INYECTABLE,VIAL,1,3/4/2018,EE01104,GP PHARM
7751032000225,13,LEUPRORELINA GP PHARM,3.75MG,VIAL,VIAL,VIAL,1,,EG5491,GP PHARM
7751032000287,13,TRIPTORELINA GP PHARM,,VIAL,VIAL,VIAL,1,,EG5687,GP PHARM
7751032000294,13,CIPROFLOXACINO,200MG/100ML,SOLUCION INYECTABLE,INY,FRASCO,100,1/12/2014,EG-6041,GP PHARM
7751032000300,13,METRONIDAZOL 500MG X 100ML AMP (BES),,,,,1,,,GP PHARM S.A.
7751056475788,13,SEPTRIN,200mg+40mg/5mL,Suspensión,Suspension,Fco. X 60 mL,1,6/19/2012,E14714,GSK
7751056475818,13,SEPTRIN FORTE,800mg+160mg,Tableta,Tableta,Caja Tab.,100,1/29/2012,E14331,GSK
7751056475825,13,ZYLORIC,100mg,Comprimido,Tableta,Caja Comp.,30,2/4/2012,E14350,BIOTOSCANA
7751056475832,13,ZYLORIC,300mg,Comprimido,Tableta,Caja Comp.,30,2/4/2012,E14348,BIOTOSCANA
7751128000122,13,DOXICICLINA 100 MG  X 1 TABLETA (LAB),,,,,1,,,LABORATORIOS AMERICANOS S.A.
7751128000337,13,BECLOMETASONA,250mcg/dosis,Aerosol para Inhalación,Inhalador,Caja Fco. X 150 Dosis,1,5/16/2010,EG4601,LABOT
7751128000351,13,BECLOMETASONA 50 MG AEROSOL FCO X 200 DOSIS (LAB),,,,,1,,,LABORATORIOS AMERICANOS S.A.
7751128000368,13,SALBUTAMOL,100mcg,Inhalador,Inhalador,Aer. X 200 Dosis,1,11/7/2013,EG4157,LABOT
7751128000498,13,DEXAMETASONA,4mg/2mL,Solución para Inyección,Inyectable,Caja Amp. X 2 mL,1,10/20/2013,EG5931,LABOT
